Advertiser_ID,Advertiser_Name,Public_IDs_List,Total_Creatives,Total_Spend_USD
AR57130624179240960,Democratic Party of Illinois,EIN ID 36-4073402,3,0
AR571517348024942592,HERN FOR CONGRESS,FEC ID C00636092,8,6100
AR572748801048051712,CINDY HYDE-SMITH FOR US SENATE,FEC ID C00675348,23,15000
AR573179809606139904,DODSON FOR SENATE-WYOMING FIRST INC,FEC ID C00671776,14,14700
AR573874700954894336,MAX ROSE FOR CONGRESS,FEC ID C00652248,39,2200
AR574921436024537088,GEORGE FRANKLIN FOR CONGRESS,FEC ID C00656744,4,300
AR58419251806994432,GLISSON FOR CONGRESS,FEC ID C00668699,5,100
AR59338443527815168,RUFUS GIFFORD FOR CONGRESS,FEC ID C00660381,25,6800
AR59641908737081344,YOUNG KIM FOR CONGRESS,FEC ID C00665638,6,800
AR60464343434657792,EVERYTOWN FOR GUN SAFETY ACTION FUND,FEC ID C90015025,25,34200
AR60666653574168576,TEDESCHI FOR CONGRESS,FEC ID C00658492,2,200
AR63886023620296704,"Conservation Law Foundation, Inc",EIN ID 04-6149986,1,0
AR6421147906211840,ANDY KIM FOR CONGRESS,FEC ID C00648220,56,16900
AR64967943062028288,RICK SCOTT FOR FLORIDA,FEC ID C00676965,400,669200
AR65636446131716096,AFTAB FOR OHIO,FEC ID C00667519,11,10100
AR66093842968870912,HARLEY ROUDA FOR CONGRESS,FEC ID C00633982,119,11500
AR66397308178137088,RICK GREEN FOR CONGRESS,FEC ID C00657098,52,1700
AR67219742875713536,DENHAM FOR CONGRESS,FEC ID C00473272,27,18100
AR68345642782556160,MATT HAGGMAN FOR CONGRESS,FEC ID C00651851,104,7400
AR68662302131355648,Inside Out Consulting LLC,EIN ID 76-0849527,2,0
AR69471542689398784,JEFF GREENE FOR GOVERNOR,EIN ID 83-0807133,369,192900
AR72391845572771840,LEAH FOR SENATE,FEC ID C00655522,20,9200
AR75101042223611904,CLUB FOR GROWTH ACTION,FEC ID C00487470,168,36700
AR75532050781700096,ANDREW LEARNED FOR CONGRESS,FEC ID C00646455,21,8600
AR76226942130454528,BRIAN FITZPATRICK FOR CONGRESS,FEC ID C00607416,16,34100
AR77396822502408192,GLENN GROTHMAN FOR CONGRESS,FEC ID C00561597,6,1200
AR78478741944139776,CRAMER FOR SENATE,FEC ID C00504704,7,12100
AR78725032548761600,HALEY STEVENS FOR CONGRESS,FEC ID C00638650,12,500
AR82982341571510272,FRIENDS OF RON DESANTIS,EIN ID 82-3855986,25,180300
AR84152221943463936,TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT,FEC ID C00040220,10,10100
AR85234141385195520,O'CONNOR FOR CONGRESS,FEC ID C00667964,161,258000
AR86360041292038144,"DAVID TRONE FOR CONGRESS, INC",FEC ID C00653196,6,27300
AR86663506501304320,GIANFORTE VICTORY FUND,FEC ID C00635235,3,8200
AR8672947719897088,WALORSKI FOR CONGRESS INC,FEC ID C00468579,8,2700
AR89517838687010816,PRIORITIES USA ACTION & HOUSE MAJORITY PAC,"FEC ID C00495861, FEC ID C00495028",15,14200
AR89737741012566016,DINO FOR CONGRESS,FEC ID C00656371,12,8500
AR91989540826251264,MARCO RUBIO FOR SENATE,FEC ID C00620518,2,0
AR93115440733093888,ANDREW JANZ FOR CONGRESS,FEC ID C00638510,14,51800
AR94241340639936512,COMMITTEE TO ELECT MORGAN FOR MICHIGAN,FEC ID C00636324,14,2100
AR95367240546779136,KLOBUCHAR FOR MINNESOTA,FEC ID C00431353,16,3000
AR96493140453621760,WALDEN FOR CONGRESS,FEC ID C00333427,16,10200
AR99914820639260672,PEOPLE OVER POLITICS,EIN ID 83-0696627,4,2000
